ethnic_group,age_group,gender,count,regd,count_all,rate
Asian or Asian British,18-29,Female,,asc,4227,0.02
Asian or Asian British,18-29,Female,25,gp,4227,0.59
Asian or Asian British,18-29,Female,26,gp_or_asc,4227,0.62
Asian or Asian British,18-29,Male,,asc,4137,0.05
Asian or Asian British,18-29,Male,18,gp,4137,0.44
Asian or Asian British,18-29,Male,20,gp_or_asc,4137,0.48
Asian or Asian British,18-29,Unknown,,,2,
Asian or Asian British,30-39,Female,,asc,3042,0.1
Asian or Asian British,30-39,Female,37,gp,3042,1.22
Asian or Asian British,30-39,Female,40,gp_or_asc,3042,1.31
Asian or Asian British,30-39,Male,,asc,3768,0.11
Asian or Asian British,30-39,Male,14,gp,3768,0.37
Asian or Asian British,30-39,Male,18,gp_or_asc,3768,0.48
Asian or Asian British,40-49,Female,,asc,2096,0.1
Asian or Asian British,40-49,Female,33,gp,2096,1.57
Asian or Asian British,40-49,Female,35,gp_or_asc,2096,1.67
Asian or Asian British,40-49,Male,,asc,2811,0.04
Asian or Asian British,40-49,Male,25,gp,2811,0.89
Asian or Asian British,40-49,Male,26,gp_or_asc,2811,0.92
Asian or Asian British,50-59,Female,,asc,1022,0.29
Asian or Asian British,50-59,Female,25,gp,1022,2.45
Asian or Asian British,50-59,Female,,gp_and_asc,1022,0.2
Asian or Asian British,50-59,Female,30,gp_or_asc,1022,2.94
Asian or Asian British,50-59,Male,,asc,1298,0.15
Asian or Asian British,50-59,Male,15,gp,1298,1.16
Asian or Asian British,50-59,Male,,gp_and_asc,1298,0.08
Asian or Asian British,50-59,Male,18,gp_or_asc,1298,1.39
Asian or Asian British,60-69,Female,,asc,508,0.79
Asian or Asian British,60-69,Female,6,gp,508,1.18
Asian or Asian British,60-69,Female,,gp_and_asc,508,0.39
Asian or Asian British,60-69,Female,12,gp_or_asc,508,2.36
Asian or Asian British,60-69,Male,,asc,594,0.17
Asian or Asian British,60-69,Male,11,gp,594,1.85
Asian or Asian British,60-69,Male,,gp_and_asc,594,0.17
Asian or Asian British,60-69,Male,13,gp_or_asc,594,2.19
Asian or Asian British,70-79,Female,,asc,326,0.31
Asian or Asian British,70-79,Female,,gp,326,1.23
Asian or Asian British,70-79,Female,,gp_and_asc,326,0.92
Asian or Asian British,70-79,Female,8,gp_or_asc,326,2.45
Asian or Asian British,70-79,Male,,asc,280,1.07
Asian or Asian British,70-79,Male,,gp,280,1.43
Asian or Asian British,70-79,Male,,gp_and_asc,280,0.36
Asian or Asian British,70-79,Male,8,gp_or_asc,280,2.86
Asian or Asian British,80+,Female,,asc,117,1.71
Asian or Asian British,80+,Female,,gp_or_asc,117,1.71
Asian or Asian British,80+,Male,,asc,145,2.76
Asian or Asian British,80+,Male,,gp,145,2.76
