gender,lsoa_11,count,count_all,rate
Female,E01006512,19,3388,0.56
Male,E01006512,13,3095,0.42
Female,E01006513,26,6230,0.42
Male,E01006513,18,5054,0.36
Female,E01006514,18,1949,0.92
Male,E01006514,12,1880,0.64
Female,E01006515,26,1612,1.61
Male,E01006515,20,1434,1.39
Female,E01006518,58,1055,5.5
Male,E01006518,21,1008,2.08
Female,E01006519,14,630,2.22
Male,E01006519,13,619,2.1
Female,E01006520,18,986,1.83
Male,E01006520,18,1158,1.55
Female,E01006521,31,878,3.53
Male,E01006521,16,888,1.8
Female,E01006522,19,949,2
Male,E01006522,15,1051,1.43
Female,E01006523,28,848,3.3
Male,E01006523,14,881,1.59
Female,E01006524,25,1264,1.98
Male,E01006524,17,1735,0.98
Female,E01006525,36,541,6.65
Male,E01006525,13,513,2.53
Female,E01006526,21,745,2.82
Male,E01006526,9,692,1.3
Female,E01006527,23,690,3.33
Male,E01006527,9,678,1.33
Female,E01006528,14,665,2.11
Male,E01006528,12,838,1.43
Female,E01006529,30,646,4.64
Male,E01006529,10,637,1.57
Female,E01006530,29,631,4.6
Male,E01006530,16,562,2.85
Female,E01006531,31,660,4.7
Male,E01006531,23,597,3.85
Female,E01006532,28,791,3.54
Male,E01006532,16,748,2.14
Female,E01006533,24,617,3.89
Male,E01006533,19,613,3.1
Female,E01006534,43,899,4.78
Male,E01006534,15,879,1.71
Female,E01006535,62,948,6.54
Male,E01006535,32,857,3.73
Female,E01006536,52,915,5.68
Male,E01006536,25,881,2.84
Female,E01006537,40,1144,3.5
Male,E01006537,20,1130,1.77
Female,E01006538,27,572,4.72
Male,E01006538,6,584,1.03
Female,E01006539,30,674,4.45
Male,E01006539,12,665,1.8
Female,E01006540,21,957,2.19
Male,E01006540,15,1184,1.27
Female,E01006541,25,688,3.63
Male,E01006541,15,707,2.12
Female,E01006542,24,667,3.6
Male,E01006542,8,770,1.04
Female,E01006543,19,569,3.34
Male,E01006543,10,557,1.8
Female,E01006544,43,936,4.59
Male,E01006544,14,845,1.66
Female,E01006545,16,734,2.18
Male,E01006545,8,681,1.17
Female,E01006546,19,663,2.87
Male,E01006546,7,802,0.87
Female,E01006547,26,865,3.01
Male,E01006547,9,974,0.92
Female,E01006548,41,1030,3.98
Male,E01006548,14,1092,1.28
Female,E01006549,13,976,1.33
Male,E01006549,9,1235,0.73
Female,E01006550,20,1546,1.29
Male,E01006550,8,1111,0.72
Female,E01006551,32,913,3.5
Male,E01006551,17,1187,1.43
Female,E01006552,23,1014,2.27
Male,E01006552,16,1340,1.19
Female,E01006553,24,990,2.42
Male,E01006553,11,902,1.22
Female,E01006554,9,1054,0.85
Male,E01006554,,1006,0.5
Female,E01006556,30,1206,2.49
Male,E01006556,17,1608,1.06
Female,E01006557,15,1412,1.06
Male,E01006557,14,1070,1.31
Female,E01006558,19,653,2.91
Male,E01006558,9,742,1.21
Female,E01006560,48,948,5.06
Male,E01006560,21,1007,2.09
Female,E01006562,17,728,2.34
Male,E01006562,8,798,1
Female,E01006563,29,876,3.31
Male,E01006563,19,1023,1.86
Female,E01006564,37,787,4.7
Male,E01006564,17,838,2.03
Female,E01006565,47,762,6.17
Male,E01006565,16,694,2.31
Female,E01006566,27,659,4.1
Male,E01006566,10,628,1.59
Female,E01006567,33,672,4.91
Male,E01006567,16,735,2.18
Female,E01006568,42,765,5.49
Male,E01006568,15,687,2.18
Female,E01006569,40,710,5.63
Male,E01006569,20,629,3.18
Female,E01006570,29,669,4.33
Male,E01006570,26,686,3.79
Female,E01006571,48,553,8.68
Male,E01006571,17,498,3.41
Female,E01006572,30,343,8.75
Male,E01006572,9,282,3.19
Female,E01006573,50,655,7.63
Male,E01006573,16,657,2.44
Female,E01006574,20,244,8.2
Male,E01006574,6,215,2.79
Female,E01006575,30,631,4.75
Male,E01006575,16,594,2.69
Female,E01006576,29,788,3.68
Male,E01006576,15,767,1.96
Female,E01006577,33,685,4.82
Male,E01006577,13,660,1.97
Female,E01006578,24,614,3.91
Male,E01006578,17,596,2.85
Female,E01006579,36,757,4.76
Male,E01006579,14,739,1.89
Female,E01006580,15,622,2.41
Male,E01006580,9,618,1.46
Female,E01006581,22,739,2.98
Male,E01006581,8,683,1.17
Female,E01006582,29,701,4.14
Male,E01006582,13,732,1.78
Female,E01006583,21,1558,1.35
Male,E01006583,9,1083,0.83
Female,E01006584,33,592,5.57
Male,E01006584,12,556,2.16
Female,E01006585,28,614,4.56
Male,E01006585,23,619,3.72
Female,E01006586,42,927,4.53
Male,E01006586,15,959,1.56
Female,E01006587,25,717,3.49
Male,E01006587,9,752,1.2
Female,E01006588,32,916,3.49
Male,E01006588,11,902,1.22
Female,E01006589,21,727,2.89
Male,E01006589,10,751,1.33
Female,E01006590,34,890,3.82
Male,E01006590,22,831,2.65
