year,age_group,gender,total,count,regd,rate
2016,,Unknown,,1047,gp,
2016,,Unknown,,347,asc,
2016,,Unknown,,20,gp_and_asc,
2016,18-29,Female,77789,106,gp,0.14
2016,18-29,Female,77789,,asc,0.01
2016,18-29,Male,78624,27,gp,0.03
2016,18-29,Male,78624,,asc,0.01
2016,18-29,Male,78624,,gp_and_asc,0
2016,30-39,Female,51023,131,gp,0.26
2016,30-39,Female,51023,,asc,0
2016,30-39,Female,51023,6,gp_and_asc,0.01
2016,30-39,Male,54579,46,gp,0.08
2016,30-39,Male,54579,,asc,0.01
2016,30-39,Male,54579,,gp_and_asc,0
2016,40-49,Female,50310,148,gp,0.29
2016,40-49,Female,50310,10,asc,0.02
2016,40-49,Female,50310,20,gp_and_asc,0.04
2016,40-49,Male,48899,64,gp,0.13
2016,40-49,Male,48899,,asc,0.01
2016,40-49,Male,48899,10,gp_and_asc,0.02
2016,50-59,Female,55093,212,gp,0.38
2016,50-59,Female,55093,28,asc,0.05
2016,50-59,Female,55093,24,gp_and_asc,0.04
2016,50-59,Male,50589,105,gp,0.21
2016,50-59,Male,50589,15,asc,0.03
2016,50-59,Male,50589,11,gp_and_asc,0.02
2016,60-69,Female,44419,143,gp,0.32
2016,60-69,Female,44419,40,asc,0.09
2016,60-69,Female,44419,18,gp_and_asc,0.04
2016,60-69,Male,42651,82,gp,0.19
2016,60-69,Male,42651,14,asc,0.03
2016,60-69,Male,42651,8,gp_and_asc,0.02
2016,70-79,Female,31113,88,gp,0.28
2016,70-79,Female,31113,36,asc,0.12
2016,70-79,Female,31113,11,gp_and_asc,0.04
2016,70-79,Male,26776,36,gp,0.13
2016,70-79,Male,26776,18,asc,0.07
2016,70-79,Male,26776,8,gp_and_asc,0.03
2016,80+,Female,18997,40,gp,0.21
2016,80+,Female,18997,54,asc,0.28
2016,80+,Female,18997,,gp_and_asc,0.01
2016,80+,Male,12784,31,gp,0.24
2016,80+,Male,12784,25,asc,0.2
2016,80+,Male,12784,,gp_and_asc,0.03
2017,,Female,,,asc,
2017,,Male,,,asc,
2017,,Male,,,gp_and_asc,
2017,,Unknown,,834,gp,
2017,,Unknown,,739,asc,
2017,,Unknown,,22,gp_and_asc,
2017,18-29,Female,78273,92,gp,0.12
2017,18-29,Female,78273,,asc,0
2017,18-29,Female,78273,,gp_and_asc,0
2017,18-29,Male,78898,29,gp,0.04
2017,18-29,Male,78898,,asc,0
2017,18-29,Male,78898,,gp_and_asc,0
2017,30-39,Female,51852,114,gp,0.22
2017,30-39,Female,51852,8,asc,0.02
2017,30-39,Female,51852,7,gp_and_asc,0.01
2017,30-39,Male,55551,36,gp,0.06
2017,30-39,Male,55551,8,asc,0.01
2017,30-39,Male,55551,,gp_and_asc,0.01
2017,40-49,Female,49066,132,gp,0.27
2017,40-49,Female,49066,21,asc,0.04
2017,40-49,Female,49066,16,gp_and_asc,0.03
2017,40-49,Male,47878,64,gp,0.13
2017,40-49,Male,47878,16,asc,0.03
2017,40-49,Male,47878,,gp_and_asc,0
2017,50-59,Female,55336,168,gp,0.3
2017,50-59,Female,55336,36,asc,0.07
2017,50-59,Female,55336,37,gp_and_asc,0.07
2017,50-59,Male,50995,94,gp,0.18
2017,50-59,Male,50995,17,asc,0.03
2017,50-59,Male,50995,11,gp_and_asc,0.02
2017,60-69,Female,44271,120,gp,0.27
2017,60-69,Female,44271,46,asc,0.1
2017,60-69,Female,44271,33,gp_and_asc,0.07
2017,60-69,Male,41996,64,gp,0.15
2017,60-69,Male,41996,18,asc,0.04
2017,60-69,Male,41996,11,gp_and_asc,0.03
2017,70-79,Female,32446,59,gp,0.18
2017,70-79,Female,32446,48,asc,0.15
2017,70-79,Female,32446,12,gp_and_asc,0.04
2017,70-79,Male,28246,32,gp,0.11
2017,70-79,Male,28246,32,asc,0.11
2017,70-79,Male,28246,10,gp_and_asc,0.04
