year,age_group,gender,total,count,rate
2016,18-29,Female,57105,,0.01
2016,18-29,Male,57201,,0.01
2016,30-39,Female,32193,6,0.02
2016,30-39,Male,37394,,0.01
2016,40-49,Female,28393,19,0.07
2016,40-49,Male,28532,6,0.02
2016,50-59,Female,30953,35,0.11
2016,50-59,Male,28334,19,0.07
2016,60-69,Female,23593,42,0.18
2016,60-69,Male,22974,13,0.06
2016,70-79,Female,15739,34,0.22
2016,70-79,Male,13642,18,0.13
2016,80+,Female,9814,26,0.26
2016,80+,Male,6605,19,0.29
2017,18-29,Female,58032,,0
2017,18-29,Male,57586,,0.01
2017,30-39,Female,32727,12,0.04
2017,30-39,Male,38016,14,0.04
2017,40-49,Female,27659,34,0.12
2017,40-49,Male,28168,15,0.05
2017,50-59,Female,30984,64,0.21
2017,50-59,Male,28437,27,0.09
2017,60-69,Female,23685,79,0.33
2017,60-69,Male,22704,28,0.12
2017,70-79,Female,16226,48,0.3
2017,70-79,Male,14331,35,0.24
2017,80+,Female,9763,64,0.66
2017,80+,Male,6695,42,0.63
2018,18-29,Female,58165,13,0.02
2018,18-29,Male,57962,8,0.01
2018,30-39,Female,33384,20,0.06
2018,30-39,Male,38310,7,0.02
2018,40-49,Female,27016,66,0.24
2018,40-49,Male,28080,28,0.1
2018,50-59,Female,30890,122,0.39
2018,50-59,Male,28331,45,0.16
2018,60-69,Female,23894,124,0.52
2018,60-69,Male,22861,45,0.2
2018,70-79,Female,16616,82,0.49
2018,70-79,Male,14810,61,0.41
2018,80+,Female,9807,126,1.28
2018,80+,Male,6783,71,1.05
2019,18-29,Female,57910,27,0.05
2019,18-29,Male,57623,12,0.02
2019,30-39,Female,34175,18,0.05
2019,30-39,Male,39137,17,0.04
2019,40-49,Female,26676,75,0.28
2019,40-49,Male,28082,34,0.12
2019,50-59,Female,30773,185,0.6
2019,50-59,Male,28482,65,0.23
2019,60-69,Female,24309,162,0.67
2019,60-69,Male,23081,78,0.34
2019,70-79,Female,16751,178,1.06
2019,70-79,Male,15079,82,0.54
2019,80+,Female,9885,229,2.32
2019,80+,Male,6873,157,2.28
2020,18-29,Female,57694,23,0.04
2020,18-29,Male,57060,13,0.02
2020,30-39,Female,34580,30,0.09
2020,30-39,Male,40544,12,0.03
2020,40-49,Female,26591,79,0.3
2020,40-49,Male,28212,29,0.1
2020,50-59,Female,30562,157,0.51
2020,50-59,Male,28385,55,0.19
2020,60-69,Female,24747,150,0.61
2020,60-69,Male,23340,48,0.21
2020,70-79,Female,17094,139,0.81
2020,70-79,Male,15352,79,0.51
2020,80+,Female,9701,155,1.6
2020,80+,Male,6754,111,1.64
2021,18-29,Female,,,
2021,18-29,Male,,,
2021,30-39,Female,,,
2021,30-39,Male,,,
2021,40-49,Female,,18,
2021,40-49,Male,,7,
2021,50-59,Female,,24,
2021,50-59,Male,,12,
2021,60-69,Female,,23,
2021,60-69,Male,,12,
2021,70-79,Female,,42,
2021,70-79,Male,,29,
2021,80+,Female,,61,
2021,80+,Male,,23,
